,Deg,Cc,Ne,ID
1,2752.480747851506,0.8107230383133626,132.04404757184872,1.0
2,3196.376905402883,0.8603120525108485,149.94038221895786,1.0
3,2494.3600674769755,0.8449098347658683,140.79509612171518,1.0
4,3060.937663406835,0.7713970061173463,140.65840069489795,1.0
5,2785.5771684131996,0.8012165295466218,134.35206695489978,1.0
6,3530.6438613745413,0.8029327680789816,154.99934419476105,1.0
7,3223.627088112717,0.8881941536575637,145.4769692642463,1.0
8,3093.758655908529,0.85230721526876,139.16684610487795,1.0
1,2918.6716021099414,0.8417573700623048,137.6727920132496,2.0
10,2588.583242800744,0.6366039829099337,105.46287239731994,2.0
11,2814.577716183285,0.792155471210707,118.26259598967789,2.0
15,2326.1942443443136,0.7096017475642784,95.61359395210852,2.0
16,2301.6654124556508,0.5285198736481755,76.35328947173171,2.0
17,2630.8714978510566,0.715000414292137,113.2531276774949,2.0
19,3243.6256780199888,0.8307237946781321,166.45524333819574,2.0
2,3463.3583971306484,0.8019598491228352,153.33052645271124,2.0
20,3267.5407386509737,0.8394691534599432,150.47566997760808,2.0
21,3988.331046860087,0.8417591551019666,166.31961897193304,2.0
22,3200.14530979984,0.831128647645849,155.80689056164698,2.0
23,2547.388050469083,0.7867933875912779,106.97795386604773,2.0
3,3295.5089168688773,0.8312071474482811,154.59951647416742,2.0
4,3334.8180278843806,0.8122722005213985,154.6611165669861,2.0
5,2060.2252921864792,0.738142542862424,89.71109918016832,2.0
6,2476.7136110129964,0.7427331325994991,115.09574353846955,2.0
7,3537.837628756548,0.8494857472734897,162.02644235937785,2.0
8,3405.2385818257553,0.8555123072765828,141.64327617899056,2.0
9,3149.82152886011,0.822187996556676,150.62712190230582,2.0
1,3219.164963744628,0.7435175736061314,153.91005928927314,3.0
10,2937.6416690521455,0.8028392283432465,137.5026758429222,3.0
14,3172.467624826744,0.8500998775916031,155.31702772120974,3.0
15,2752.230679237008,0.8040402928388679,126.84479480304701,3.0
16,3358.648841968331,0.8863051056408866,160.21326008552253,3.0
17,3003.2508104696212,0.807045770426689,147.16963504332696,3.0
18,2274.4453216954917,0.8443632600293381,107.78444996326682,3.0
2,3629.3014018069653,0.8591814089001053,170.2073037915511,3.0
20,4172.241332152188,0.8292929072393521,243.22836830919593,3.0
21,2970.9326107030465,0.8335146573835188,136.35990645648567,3.0
4,2654.454775899515,0.7140940607993054,111.4537252250748,3.0
5,2534.981725830852,0.7270651658188851,111.86395538274175,3.0
6,2681.4246813096383,0.7941433751716476,122.5535430029589,3.0
7,6247.753952086935,0.8023543689806746,241.88051528017166,3.0
8,3386.1800288438485,0.8446409089529984,158.54394652345874,3.0
9,3378.2729276424425,0.8925748339111147,216.90029295148156,3.0
501,2820.794394781368,0.8559877405960634,116.36457855896325,4.0
502,3287.596559915583,0.8555557302057686,153.6450254941095,4.0
503,2939.9708383403226,0.856676558551254,123.37058768611567,4.0
504,3102.476932605339,0.8638348479902979,128.01206902427063,4.0
505,2281.1994337922174,0.8440108118752246,109.16593678269439,4.0
506,3180.7207196911136,0.8397167463152457,131.39899488488945,4.0
507,2737.738497793934,0.8878240625469977,127.78100802905495,4.0
508,4129.399633394398,0.8316174306315828,172.5204170765324,4.0
509,2609.951388992155,0.8606950423549959,117.51287208805482,4.0
510,3342.63137641678,0.8852846639276409,136.3449862962825,4.0
511,2690.3664416016786,0.8765515191681604,104.1781328311379,4.0
