Unnamed: 0,deg_0,ne_0,deg_1,ne_1,deg_2,ne_2,deg_4,ne_4,deg_5,ne_5,deg_6,ne_6,deg_7,ne_7,id
0,2096.172156,353.4411013,2400.390732,274.4922846,3452.652073,790.5686457,1980.731216,210.8239928,1253.106476,478.767378,2519.038531,573.5118477,2566.62285,591.4564277,1
1,1720.428053,291.6789611,2376.523636,259.9288023,4265.098724,930.8185499,2469.746336,279.4366229,1110.039644,417.7792893,2183.255922,480.7800499,3847.855174,811.7481222,1
2,1842.023063,338.9809233,2229.845206,257.7611832,2233.680795,503.41409,2242.606617,260.853689,1335.663849,538.8661785,1753.060071,395.7365376,1896.670003,422.7981861,1
3,2223.272536,425.2602131,2444.014118,269.0646448,4360.173265,946.2315037,2015.712626,232.3574909,1563.140025,652.5307611,2142.934641,464.6081971,4213.618291,870.4852746,1
4,1949.924141,340.2451227,2308.64271,239.1667381,3647.234722,833.6444921,2005.122334,220.4118677,1219.892055,466.6103867,1930.902792,449.8386357,3493.397463,762.5860825,1
5,2600.862219,415.2730043,2264.715065,267.3932113,5315.339403,1313.827186,2241.880053,270.6543604,2235.691138,888.3131569,3218.719546,697.6659309,5169.13943,1139.876268,1
6,2291.370879,410.9159601,2726.615662,296.3661908,2960.02282,678.4000562,2651.075302,309.7064615,1731.72656,669.6451405,2164.620543,488.6630817,3435.581888,762.8551961,1
7,2384.627947,396.599894,2221.634764,228.7925321,4427.408883,951.2127307,2062.114466,219.3008928,2196.489063,784.4905897,2332.829437,515.3438907,3518.172846,774.0975596,1
8,2413.674705,438.8725053,2261.686478,263.4087425,4769.048879,1050.144255,1905.063346,222.6653172,1442.726232,515.508466,2168.725126,520.8857883,2516.473642,529.7072419,2
9,3723.080481,669.2196635,1369.938019,152.7119703,2237.878478,482.1299233,1502.056178,158.4866363,3382.338769,1424.874803,2808.152739,633.2306568,2280.367507,439.0101962,2
10,2786.594838,512.3583065,1636.053408,162.0713582,4362.92762,1076.858192,1486.282041,154.4367841,2183.358061,905.4264684,2394.041895,533.4246145,2176.731559,469.8598091,2
11,2698.617296,458.990181,1140.357059,120.5716199,1843.840063,371.620702,1101.949069,98.38497756,1966.255832,790.9813913,3030.845953,704.174141,2913.377312,625.7942578,2
12,695.4960419,79.52579949,374.741038,22.44093415,4127.386611,791.8871315,730.9674082,51.00229055,1230.939035,419.0662313,846.1397075,135.1874228,5826.935301,1218.211011,2
13,2437.538366,444.6279684,1153.436583,120.3788777,4052.519119,896.0472832,1087.610539,107.1098072,1809.025756,723.4629997,2542.573965,566.5016701,3819.102666,849.634849,2
14,1872.766982,325.181689,2564.706376,271.8319438,3692.324161,858.2574274,2746.06993,298.0149941,1515.791705,552.7559937,2297.631143,497.175693,3369.70101,757.6037557,2
15,2615.829239,494.885045,2708.428846,285.0006682,5644.357696,1276.904067,2124.330839,241.572269,1702.409336,691.3579578,2437.163879,554.930725,4361.467169,896.0813419,2
16,1970.504395,366.017586,2685.135731,301.9999877,4465.524446,946.2105831,2566.649962,276.8858075,1002.193431,391.1643531,2612.703708,569.4013206,4282.143156,863.0097482,2
17,2553.121916,429.4566966,3099.603091,339.0363679,6674.807207,1414.023063,2764.587316,271.4106434,1524.225621,563.2805484,2090.906844,467.3685969,4316.687754,887.0181944,2
18,2736.182845,478.1346478,2126.938275,233.600017,4402.419128,1021.923556,2060.334142,240.2668577,1512.992504,593.5370238,2679.735801,604.9821955,3717.794664,841.8900773,2
19,2119.577892,380.9679422,1690.125702,190.3306924,2789.461736,644.014151,1611.630286,186.3626552,1757.391057,689.6799441,2042.208338,455.5348888,2516.947716,528.011597,2
20,2396.471962,412.7843266,2413.963761,262.6688548,4342.495017,953.9010485,2494.830348,293.6046717,1724.237058,641.2517532,3054.175761,690.1784513,4292.697039,942.7176225,2
