,deg_1_lob,ne_1_lob,deg_2_lob,ne_2_lob,deg_3_lob,ne_3_lob,deg_4_lob,ne_4_lob,deg_5_lob,ne_5_lob,deg_7_lob,ne_7_lob,deg_8_lob,ne_8_lob,deg_10_lob,ne_10_lob,deg_11_lob,ne_11_lob,deg_12_lob,ne_12_lob,deg_13_lob,ne_13_lob,deg_14_lob,ne_14_lob,id
0,2405.087538,407.5586396,3280.124143,1045.546761,2981.927732,1031.76337,1617.157948,339.2209222,402.8709176,189.9034131,919.9513405,234.0496739,632.0046663,174.5176134,389.7879151,186.1170431,1710.964947,321.0030033,3811.390948,1581.48857,257.9543196,66.88263391,2092.720383,330.5648313,1
1,2135.364985,343.1504676,2625.819127,882.654506,4551.910876,1762.771286,1572.413226,338.0857857,548.3448781,259.2451123,982.0792632,251.0186382,957.8191444,230.6829345,600.4943337,279.23857,1850.888409,412.637235,4539.674367,1827.3291,2828.919453,945.682445,2557.668424,426.3059165,1
2,2587.271874,444.1765096,2334.212917,788.8037538,1438.933546,610.8098346,1520.21922,342.5429607,328.1922552,155.4731425,765.1327245,182.3132655,774.3654675,193.8009137,316.604783,148.2998828,1353.42238,319.203228,1545.215826,561.5543473,2388.586361,851.9658229,2465.32061,425.7235093,1
3,2482.740043,419.3436847,3098.193267,1001.174262,4341.934641,1806.599319,1962.530963,448.3993837,556.1030921,265.498722,407.6762925,103.4507522,630.9485592,167.5764054,411.3222167,194.6101407,1779.459439,374.714385,4718.742641,1973.659351,3720.387449,1325.555187,1473.265847,285.608301,1
4,1808.691114,316.1171564,2020.248424,687.7060744,4109.058537,1641.221358,1661.550308,352.0976715,664.8232095,314.5786578,667.2890725,180.1109607,438.7698256,114.7091874,533.0785665,254.9059195,1746.444649,402.9530548,4287.951401,1801.461552,2309.38042,761.8849002,1751.555881,305.5077857,1
5,2255.21609,410.6866265,3935.393432,1239.632057,5327.89202,2242.965611,2142.2527,407.0103859,465.6610923,217.5600638,799.485883,212.3186153,678.6554726,176.8654635,548.1741286,257.4224271,2356.609437,485.1681374,5620.600913,2364.892269,3885.590228,1293.048809,2159.151634,388.4520735,1
6,2487.729217,418.7897698,2125.865096,699.1130289,2048.850593,806.7966153,1931.368739,433.9805014,303.1045867,140.0613746,1042.556546,258.5509629,866.6058394,202.9683598,456.5354499,209.6342356,1850.61629,401.2094962,3901.846374,1494.895341,2444.598869,830.5428023,2691.089279,472.3673783,1
7,1366.560089,219.8474885,3872.664909,1219.633994,3846.178027,1569.96824,1840.424763,397.3163194,554.1275958,265.2188101,1017.159773,256.5407131,725.663908,179.7844113,450.0953169,216.0407935,1839.608216,411.2435441,3698.320623,1574.41688,3421.195397,1136.613336,1361.141791,213.6144329,1
8,1985.850609,340.4412827,3753.871842,1149.41489,3612.328652,1467.97245,2297.004655,507.0464455,339.9545704,161.5911139,1005.216103,271.7685381,838.2691487,201.2837377,542.1300529,253.6773917,2403.689914,547.2796066,3295.839266,1273.659965,819.7358216,270.5276507,1757.436086,317.5647463,2
9,1042.01848,169.6924026,285.3043679,71.32609198,3535.573636,1426.3149,2973.367435,687.0091593,191.6244506,64.00117346,481.027817,134.6125152,585.3405944,159.8258122,358.2432219,119.5508085,3047.101984,707.3733318,3753.181087,1476.040303,0,0,1290.725636,179.762747,2
