LOF,lateralorbitofrontal
PORB,parsorbitalis
FP,frontalpole
MOF,medialorbitofrontal
PTRI,parstriangularis
POPE,parsopercularis
RMF,rostralmiddlefrontal
SF,superiorfrontal
CMF,caudalmiddlefrontal
PREC,precentral
PARC,paracentral
RAC,rostralanteriorcingulate
CAC,caudalanteriorcingulate
PC,posteriorcingulate
ISTC,isthmuscingulate
PSTS,postcentral
SMAR,supramarginal
SP,superiorparietal
IP,inferiorparietal
PCUN,precuneus
CUN,cuneus
PCAL,pericalcarine
LOCC,lateraloccipital
LING,lingual
FUS,fusiform
PARH,parahippocampal
ENT,entorhinal
TP,temporalpole
IT,inferiortemporal
MT,middletemporal
BSTS,bankssts
ST,superiortemporal
TT,transversetemporal
TAH,thalamus
CAU,caudate
PUT,putamen
PLD,pallidum
ACC,accumbens
STH,subthalamus
HYPO,hippocampus
AMYG,amygdala
STEM,brainstem
